Designator,Mid X,Mid Y,Rotation,Layer
FID1,491.6,-406.2,0.0,top
FID2,536.0,-406.1,0.0,top
FID3,536.1,-473.4,0.0,top
FID4,412.8,-237.9,0.0,top
FID5,424.5,-216.3,0.0,top
FID6,602.9,-215.6,0.0,top
FID7,614.3,-237.6,0.0,top
FID8,614.1,-641.0,0.0,top
FID9,602.9,-664.3,0.0,top
H1,412.5,-227.0,0.0,top
H2,412.5,-361.5,0.0,top
H3,413.0,-518.0,0.0,top
H4,413.0,-652.5,0.0,top
H5,614.5,-361.5,0.0,top
H6,614.5,-227.0,0.0,top
H7,614.5,-518.0,0.0,top
H8,614.0,-652.5,0.0,top
J1,570.0,-204.5,0.0,top
J10,606.8,-673.485,0.0,top
J100,470.8,-204.5,0.0,top
J101,513.5,-204.5,0.0,top
J102,556.2,-204.515,0.0,top
J103,574.6,-204.515,0.0,top
J104,593.0,-204.515,0.0,top
J105,433.8,-673.5,0.0,top
J106,452.2,-673.5,0.0,top
J107,470.6,-673.5,0.0,top
J108,513.3,-673.5,0.0,top
J109,556.0,-673.5,0.0,top
J11,420.2,-204.485,0.0,top
J110,574.4,-673.5,0.0,top
J111,592.8,-673.5,0.0,top
J112,602.0,-673.5,0.0,top
J113,408.6,-673.5,0.0,top
J114,408.6,-204.5,0.0,top
J115,414.4,-673.5,0.0,top
J116,414.4,-204.5,0.0,top
J117,612.6,-204.515,180.0,bottom
J118,612.6,-673.5,0.0,top
J119,618.4,-204.515,0.0,top
J12,420.2,-673.485,0.0,top
J120,618.4,-673.5,0.0,top
J13,429.4,-204.485,0.0,top
J14,429.4,-673.485,0.0,top
J15,438.6,-204.485,0.0,top
J16,438.6,-673.485,0.0,top
J17,447.8,-204.485,0.0,top
J18,447.8,-673.485,0.0,top
J19,457.0,-204.485,0.0,top
J2,570.0,-673.485,0.0,top
J20,457.0,-673.485,0.0,top
J21,466.2,-673.485,0.0,top
J22,466.2,-204.485,0.0,top
J23,475.4,-673.485,0.0,top
J24,475.4,-204.485,0.0,top
J25,485.6,-673.485,0.0,top
J26,485.6,-204.485,0.0,top
J27,496.8,-673.485707,0.0,top
J28,496.9,-204.485,0.0,top
J29,507.9,-673.485,0.0,top
J3,579.2,-204.5,0.0,top
J30,507.9,-204.485,0.0,top
J31,519.1,-673.485,0.0,top
J32,519.1,-204.485,0.0,top
J33,530.1,-673.5,0.0,top
J34,530.1,-204.485,0.0,top
J35,541.4,-673.485,0.0,top
J36,541.4,-204.5,0.0,top
J37,551.6,-673.485,0.0,top
J38,551.6,-204.5,0.0,top
J39,560.8,-673.485,0.0,top
J4,579.2,-673.485,0.0,top
J40,560.8,-204.5,0.0,top
J41,535.9,-506.9,180.0,top
J42,530.3,-673.5,180.0,top
J43,524.7,-506.9,180.0,top
J44,502.2,-506.9,180.0,top
J45,496.699293,-673.485707,180.0,top
J46,491.0,-506.9,180.0,top
J47,412.7,-383.6,0.0,top
J48,423.9,-383.6,0.0,top
J49,446.3,-383.6,0.0,top
J5,588.4,-204.5,0.0,top
J50,435.1,-383.6,0.0,top
J51,468.7,-383.6,0.0,top
J52,457.5,-383.6,0.0,top
J53,491.1,-383.6,0.0,top
J54,479.9,-383.6,0.0,top
J55,524.6,-383.6,0.0,top
J56,502.3,-383.6,0.0,top
J57,547.0,-383.6,0.0,top
J58,535.8,-383.6,0.0,top
J59,569.4,-383.6,0.0,top
J6,588.4,-673.485,0.0,top
J60,558.2,-383.6,0.0,top
J61,591.8,-383.6,0.0,top
J62,580.6,-383.6,0.0,top
J63,614.2,-383.6,0.0,top
J64,603.0,-383.6,0.0,top
J65,424.1,-496.2,0.0,top
J66,412.9,-496.2,0.0,top
J67,446.5,-496.2,0.0,top
J68,435.3,-496.2,0.0,top
J69,468.9,-496.2,0.0,top
J7,597.6,-204.515,0.0,top
J70,457.7,-496.2,0.0,top
J71,491.3,-496.2,0.0,top
J72,480.1,-496.2,0.0,top
J73,524.7,-496.2,0.0,top
J74,502.5,-496.2,0.0,top
J75,547.1,-496.2,0.0,top
J76,535.9,-496.2,0.0,top
J77,569.5,-496.2,0.0,top
J78,558.3,-496.2,0.0,top
J79,591.9,-496.2,0.0,top
J8,597.6,-673.485,0.0,top
J80,580.7,-496.2,0.0,top
J81,603.1,-496.2,0.0,top
