Designator,Footprint,Quantity,Value,LCSC Part #
"FID1, FID2, FID3, FID4, FID5, FID6, FID7, FID8, FID9",Fiducial_1.5mm_Mask3mm,9,Fiducial,
"J1, J10, J11, J12, J13, J14, J15, J2, J3, J4, J5, J6, J7, J8, J9",SnowBoard Power Pads,15,Conn_01x01_Pin,
"J100, J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J120, J121, J122, J123, J124, J125, J126, J127, J128, J129, J130, J131, J132, J133, J134, J135, J136, J137, J138, J139, J140, J141, J142, J143, J144, J145, J146, J147, J148, J149, J150, J151, J152, J153, J154, J155, J156, J157, J158, J159, J160, J161, J162, J211, J212, J213, J214, J215, J216, J217, J218, J219, J220, J221, J222, J223, J224, J225, J226, J227, J228, J229, J230, J231, J232, J233, J234, J235, J236, J237, J238, J239, J240, J241, J242, J243, J244, J245, J246, J247, J248, J249, J250, J251, J252, J253, J254, J255, J256, J257, J258, J259, J260, J261, J262, J263, J264, J265, J266, J267, J268, J269, J270, J271, J272, J273, J274, J47, J48, J75, J76, J87, J88, J89, J90, J91, J92, J93, J94, J95, J96, J97, J98, J99",Test Pad,144,Conn_01x01_Pin,
"J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30",SnowBoard Power Pads Short,15,Conn_01x01_Pin,
"J31, J37, J41, J45, J52, J56, J59, J65, J69, J73, J80, J84",Snowboard_Flex_Solder_pad_short,12,Conn_01x02_Pin,
"J32, J38, J42, J46, J51, J55, J60, J66, J70, J74, J79, J83",Snowboard_Flex_Solder_Pad,12,Conn_01x02_Socket,
"J33, J61",SnowBoard Flex Pass Through Pads,2,Conn_01x02_Socket,
"J34, J62",SnowBoard Flex Pass Through Pads Short,2,Conn_01x02_Pin,
"J35, J39, J43, J50, J54, J58, J63, J67, J71, J78, J82, J86",Snowboard_Flex_Solder_pad_short,12,Conn_01x02_Socket,
"J36, J40, J44, J49, J53, J57, J64, J68, J72, J77, J81, J85",Snowboard_Flex_Solder_Pad,12,Conn_01x02_Pin,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP2, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP29, JP3, JP30, JP31, JP32, JP33, JP34, JP35, JP36, JP37, JP38, JP39, JP4, JP40, JP41, JP42, JP43, JP44, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,44,SolderJumper_2_Open,
"U1, U10, U100, U106, U107, U108, U109, U11, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U12, U120, U121, U122, U123, U124, U125, U126, U127, U128, U129, U13, U130, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U4, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U8, U80, U81, U82, U83, U84, U85, U86, U87, U88, U89, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",WS2816-2121,120,~,
