Designator,Mid X,Mid Y,Rotation,Layer
FID1,0.0,0.0,0.0,top
FID2,-0.2,-22.4,0.0,top
FID3,0.1,22.4,0.0,top
FID4,-77.8,0.0,0.0,top
FID5,-88.8,11.2,0.0,top
FID6,-88.8,-11.2,0.0,top
FID7,77.7,0.0,0.0,top
FID8,67.1,11.2,0.0,top
FID9,67.1,-11.2,0.0,top
J1,-33.5,28.0,180.0,top
J10,70.3,28.0,180.0,top
J100,-94.7,-13.4,0.0,top
J101,94.1,-14.0,0.0,top
J102,95.7,-14.0,0.0,top
J103,-95.9,-7.2,0.0,top
J104,-94.0,-7.2,0.0,top
J105,94.0,-8.5,0.0,top
J106,95.9,-8.5,0.0,top
J107,-96.3,8.6,0.0,top
J108,-94.7,8.6,0.0,top
J109,94.0,8.4,0.0,top
J11,79.5,28.0,180.0,top
J110,95.6,8.4,0.0,top
J111,-95.9,14.0,0.0,top
J112,-94.0,14.0,0.0,top
J113,94.0,13.4,0.0,top
J114,95.9,13.4,0.0,top
J115,-107.6,13.6,0.0,top
J116,-105.6,13.6,0.0,top
J117,105.7,13.4,0.0,top
J118,107.6,13.4,0.0,top
J119,-107.5,8.0,0.0,top
J12,33.5,28.0,180.0,top
J120,-105.9,8.0,0.0,top
J121,105.9,2.7,0.0,top
J122,107.5,2.7,0.0,top
J123,-108.0,-7.2,0.0,top
J124,-106.3,-7.2,0.0,top
J125,106.4,-6.5,0.0,top
J126,108.0,-6.5,0.0,top
J127,-107.5,-13.4,0.0,top
J128,-105.9,-13.4,0.0,top
J129,105.3,-13.5,0.0,top
J13,61.1,28.0,180.0,top
J130,106.9,-13.5,0.0,top
J131,-118.7,-13.4,0.0,top
J132,-116.5,-13.4,0.0,top
J133,116.5,-13.5,0.0,top
J134,118.7,-13.5,0.0,top
J135,-118.8,-5.8,0.0,top
J136,-116.6,-5.8,0.0,top
J137,116.4,-6.1,0.0,top
J138,118.6,-6.1,0.0,top
J139,-118.7,3.2,0.0,top
J14,88.7,28.0,180.0,top
J140,-116.5,3.2,0.0,top
J141,116.5,3.0,0.0,top
J142,118.7,3.0,0.0,top
J143,-118.8,15.9,0.0,top
J144,-116.6,15.9,0.0,top
J145,116.4,15.6,0.0,top
J146,118.6,15.6,0.0,top
J147,-129.9,-13.4,0.0,top
J148,-127.7,-13.4,0.0,top
J149,127.7,-13.5,0.0,top
J15,42.7,28.0,180.0,top
J150,129.9,-13.5,0.0,top
J151,-130.0,-5.8,0.0,top
J152,-127.8,-5.8,0.0,top
J153,127.6,-6.1,0.0,top
J154,129.9,-6.1,0.0,top
J155,-129.9,3.2,0.0,top
J156,-127.7,3.2,0.0,top
J157,127.7,3.0,0.0,top
J158,129.8,3.0,0.0,top
J159,-130.0,15.9,0.0,top
J16,-88.5,-26.7,180.0,top
J160,-127.7,15.9,0.0,top
J161,127.6,15.6,0.0,top
J162,129.8,15.6,0.0,top
J17,-79.3,-26.7,180.0,top
J18,-70.1,-26.7,180.0,top
J19,-60.9,-26.7,180.0,top
J2,-51.9,28.0,180.0,top
J20,-51.7,-26.7,180.0,top
J21,-42.5,-26.7,180.0,top
J211,37.9,13.9,0.0,top
J212,40.1,13.9,0.0,top
J213,-40.4,14.0,0.0,top
J214,-38.2,14.0,0.0,top
J215,38.7,2.7,0.0,top
J216,40.3,2.7,0.0,top
J217,-39.7,2.8,0.0,top
J218,-38.1,2.8,0.0,top
J219,38.0,-2.8,0.0,top
J22,-33.3,-26.7,180.0,top
J220,40.3,-2.8,0.0,top
J221,-40.4,-2.7,0.0,top
J222,-38.2,-2.7,0.0,top
J223,38.1,-14.0,0.0,top
J224,39.7,-14.0,0.0,top
J225,-40.3,-13.9,0.0,top
J226,-38.7,-13.9,0.0,top
J227,49.3,-14.0,0.0,top
J228,50.9,-14.0,0.0,top
J229,-51.5,-13.9,0.0,top
J23,0.2,-26.7,180.0,top
J230,-49.9,-13.9,0.0,top
J231,49.2,-2.8,0.0,top
J232,51.5,-2.8,0.0,top
J233,-51.6,-2.7,0.0,top
J234,-49.4,-2.7,0.0,top
J235,49.9,2.7,0.0,top
J236,51.5,2.7,0.0,top
J237,-50.9,2.8,0.0,top
J238,-49.3,2.8,0.0,top
J239,49.9,13.9,0.0,top
J24,33.7,-26.7,180.0,top
J240,51.5,13.9,0.0,top
J241,-51.5,14.0,0.0,top
J242,-49.3,14.0,0.0,top
J243,60.4,13.9,0.0,top
J244,62.6,13.9,0.0,top
J245,-62.8,14.0,0.0,top
J246,-60.6,14.0,0.0,top
J247,61.1,2.7,0.0,top
J248,62.7,2.7,0.0,top
J249,-62.1,2.8,0.0,top
J25,42.9,-26.7,180.0,top
J250,-60.5,2.8,0.0,top
J251,60.4,-2.8,0.0,top
J252,62.6,-2.8,0.0,top
J253,-62.9,-2.7,0.0,top
J254,-60.6,-2.7,0.0,top
J255,60.5,-14.0,0.0,top
J256,62.1,-14.0,0.0,top
J257,-62.7,-13.9,0.0,top
J258,-61.1,-13.9,0.0,top
J259,71.7,-13.9,0.0,top
J26,52.1,-26.7,180.0,top
J260,73.3,-13.9,0.0,top
J261,-73.9,-13.4,0.0,top
J262,-72.3,-13.4,0.0,top
J263,71.6,-2.8,0.0,top
J264,73.8,-2.8,0.0,top
J265,-74.0,-2.7,0.0,top
J266,-71.8,-2.7,0.0,top
J267,72.3,2.6,0.0,top
J268,73.9,2.7,0.0,top
J269,-73.3,2.8,0.0,top
J27,61.3,-26.7,180.0,top
J270,-71.7,2.8,0.0,top
J271,71.6,13.9,0.0,top
J272,73.8,13.9,0.0,top
J273,-74.0,14.0,0.0,top
J274,-71.8,14.0,0.0,top
J28,70.5,-26.7,180.0,top
J29,79.7,-26.7,180.0,top
J3,0.0,28.0,180.0,top
J30,88.9,-26.7,180.0,top
J31,5.6,-26.7,180.0,top
J32,5.6,28.0,180.0,top
J33,16.7,28.0,0.0,top
J34,16.7,-26.7,0.0,top
J35,16.7,-26.7,0.0,top
J36,16.6,28.0,0.0,top
J37,27.9,-26.7,180.0,top
J38,27.9,28.0,180.0,top
J39,38.1,-26.7,0.0,top
J4,-70.3,28.0,180.0,top
J40,38.1,28.0,0.0,top
J41,47.3,-26.7,180.0,top
J42,47.3,28.0,180.0,top
J43,56.5,-26.7,0.0,top
J44,56.5,28.0,0.0,top
J45,65.7,-26.7,180.0,top
J46,65.7,28.0,180.0,top
J47,-85.1,-13.4,0.0,top
J48,82.9,-14.0,0.0,top
J49,-74.9,28.0,0.0,top
J5,-42.7,28.0,180.0,top
J50,-74.9,-26.7,0.0,top
J51,-84.1,28.0,180.0,top
J52,-84.1,-26.7,180.0,top
J53,-93.3,28.0,0.0,top
J54,-93.3,-26.7,0.0,top
J55,-99.1,28.0,180.0,top
J56,-99.1,-26.7,180.0,top
J57,-104.9,28.0,0.0,top
J58,-104.9,-26.7,0.0,top
J59,-5.6,-26.7,180.0,top
J6,-88.7,28.0,180.0,top
J60,-5.6,28.0,180.0,top
J61,-16.7,28.0,0.0,top
J62,-16.7,-26.7,0.0,top
J63,-16.6,-26.7,0.0,top
J64,-16.6,28.0,0.0,top
J65,-27.9,-26.7,180.0,top
J66,-27.9,28.0,180.0,top
J67,-38.1,-26.7,0.0,top
J68,-38.1,28.0,0.0,top
J69,-47.3,-26.7,180.0,top
J7,-61.1,28.0,180.0,top
J70,-47.3,28.0,180.0,top
J71,-56.5,-26.7,0.0,top
J72,-56.5,28.1,0.0,top
J73,-65.7,-26.7,180.0,top
J74,-65.7,28.0,180.0,top
J75,-83.5,-13.4,0.0,top
J76,84.5,-14.0,0.0,top
J77,74.9,28.0,0.0,top
J78,74.9,-26.7,0.0,top
J79,84.1,28.0,180.0,top
J8,51.9,28.0,180.0,top
J80,84.1,-26.7,180.0,top
J81,93.3,28.0,0.0,top
J82,93.3,-26.7,0.0,top
J83,99.1,28.0,180.0,top
J84,99.1,-26.7,180.0,top
J85,104.9,28.0,0.0,top
J86,104.9,-26.7,0.0,top
J87,-85.2,-2.7,0.0,top
J88,-83.0,-2.7,0.0,top
J89,82.8,-2.8,0.0,top
J9,-79.5,28.0,180.0,top
J90,85.1,-2.8,0.0,top
J91,-84.5,2.8,0.0,top
J92,-82.9,2.8,0.0,top
J93,83.5,2.7,0.0,top
J94,85.1,2.7,0.0,top
J95,-85.2,14.0,0.0,top
J96,-83.0,14.0,0.0,top
J97,82.8,13.9,0.0,top
J98,85.0,13.9,0.0,top
J99,-96.3,-13.4,0.0,top
U1,5.6,-22.4,90.0,top
U10,16.8,22.4,270.0,top
U100,-72.8,22.4,90.0,top
U106,84.0,22.4,270.0,top
U107,84.0,11.2,270.0,top
U108,84.0,0.0,270.0,top
U109,84.0,-11.2,270.0,top
U11,28.0,-22.4,90.0,top
U110,84.0,-22.4,270.0,top
U111,95.2,22.4,90.0,top
U112,95.2,11.2,90.0,top
U113,95.2,0.0,90.0,top
U114,95.2,-11.2,90.0,top
U115,95.2,-22.4,90.0,top
U116,106.4,22.4,270.0,top
U117,106.4,11.2,270.0,top
U118,106.4,0.0,270.0,top
U119,106.4,-11.2,270.0,top
U12,28.0,-11.2,90.0,top
U120,106.4,-22.4,270.0,top
U121,117.6,22.4,90.0,top
U122,117.6,11.2,90.0,top
U123,117.6,0.0,90.0,top
U124,117.6,-11.2,90.0,top
U125,117.6,-22.4,90.0,top
U126,128.8,22.4,270.0,top
U127,128.8,11.2,270.0,top
U128,128.8,0.0,270.0,top
U129,128.8,-11.2,270.0,top
U13,28.0,0.0,90.0,top
U130,128.8,-22.4,270.0,top
U14,28.0,11.2,90.0,top
U15,28.0,22.4,90.0,top
U16,39.2,-22.4,270.0,top
U17,39.2,-11.2,270.0,top
U18,39.2,0.0,270.0,top
U19,39.2,11.2,270.0,top
U2,5.6,-11.2,90.0,top
U20,39.2,22.4,270.0,top
U21,50.4,-22.4,90.0,top
U22,50.4,-11.2,90.0,top
U23,50.4,0.0,90.0,top
U24,50.4,11.2,90.0,top
U25,50.4,22.4,90.0,top
U26,61.6,-22.4,270.0,top
U27,61.6,-11.2,270.0,top
U28,61.6,0.0,270.0,top
U29,61.6,11.2,270.0,top
U3,5.6,0.0,90.0,top
U30,61.6,22.4,270.0,top
U31,72.8,-22.4,90.0,top
U32,72.8,-11.2,90.0,top
U33,72.8,0.0,90.0,top
U34,72.8,11.2,90.0,top
U35,72.8,22.4,90.0,top
U4,5.6,11.2,90.0,top
U41,-84.0,22.4,270.0,top
U42,-84.0,11.2,270.0,top
U43,-84.0,0.0,270.0,top
U44,-84.0,-11.2,270.0,top
U45,-84.0,-22.4,270.0,top
U46,-95.2,22.4,90.0,top
U47,-95.2,11.2,90.0,top
U48,-95.2,0.0,90.0,top
U49,-95.2,-11.2,90.0,top
U5,5.6,22.4,90.0,top
U50,-95.2,-22.4,90.0,top
U51,-106.4,22.4,270.0,top
U52,-106.4,11.2,270.0,top
U53,-106.4,0.0,270.0,top
U54,-106.4,-11.2,270.0,top
U55,-106.4,-22.4,270.0,top
U56,-117.6,22.4,90.0,top
U57,-117.6,11.2,90.0,top
U58,-117.6,0.0,90.0,top
U59,-117.6,-11.2,90.0,top
U6,16.8,-22.4,270.0,top
U60,-117.6,-22.4,90.0,top
U61,-128.8,22.4,270.0,top
U62,-128.8,11.2,270.0,top
U63,-128.8,0.0,270.0,top
U64,-128.8,-11.2,270.0,top
U65,-128.8,-22.4,270.0,top
U66,-5.6,-22.4,90.0,top
U67,-5.6,-11.2,90.0,top
U68,-5.6,0.0,90.0,top
U69,-5.6,11.2,90.0,top
U7,16.8,-11.2,270.0,top
U70,-5.6,22.4,90.0,top
U71,-16.8,-22.4,270.0,top
U72,-16.8,-11.2,270.0,top
U73,-16.8,0.0,270.0,top
U74,-16.8,11.2,270.0,top
U75,-16.8,22.4,270.0,top
U76,-28.0,-22.4,90.0,top
U77,-28.0,-11.2,90.0,top
U78,-28.0,0.0,90.0,top
U79,-28.0,11.2,90.0,top
U8,16.8,0.0,270.0,top
U80,-28.0,22.4,90.0,top
U81,-39.2,-22.4,270.0,top
U82,-39.2,-11.2,270.0,top
U83,-39.2,0.0,270.0,top
U84,-39.2,11.2,270.0,top
U85,-39.2,22.4,270.0,top
U86,-50.4,-22.4,90.0,top
U87,-50.4,-11.2,90.0,top
U88,-50.4,0.0,90.0,top
U89,-50.4,11.2,90.0,top
U9,16.8,11.2,270.0,top
U90,-50.4,22.4,90.0,top
U91,-61.6,-22.4,270.0,top
U92,-61.6,-11.2,270.0,top
U93,-61.6,0.0,270.0,top
